DST1502*03PPX120   0 -14 -16 -16 -18 -21 -25 -26 -24 -24 -22 -20 -19 -16 -17 -23 -22 -21 -22 -17 -15 -13 -13 -10  -7 -18
DST1502*04PPX120   0  -7 -10  -8  -8 -11 -13 -15 -16 -17 -19 -21 -17 -13 -11 -13 -16 -18 -16 -16 -16 -16 -12 -11  -6 -14
DST1502*05PPX120   0  -6 -11 -10  -8  -4   5   7   3   0  -6  -9  -4   4   7  -2  -7 -12 -14  -6  -9 -14 -15 -14 -11  -6
DST1502*06PPX120   0 -11 -14 -14 -11  -9  -8  -7  -7 -10  -9 -10 -11  -6  -4  -3  -3  -4  -4  -4  -4  -4  -5  -3  -1  -7
DST1502*07PPX120   0   0   1   2   3   4   5   5  -4 -22 -37 -38 -27 -17 -16 -21 -25 -25 -26 -22 -16 -14 -13 -13 -15 -14
DST1502*08PPX120   0 -16 -13 -12 -10 -14 -22 -25 -30 -27 -26 -19 -18 -15 -14 -12 -13 -17 -19 -20 -17 -14 -13 -13 -13 -17
DST1502*09PPX120   0 -14 -13 -10  -8  -7  -9  -9 -10 -11 -12 -14 -11  -7  -7  -8 -12 -14 -10  -9 -10  -8 -16 -20 -15 -11
DST1502*10PPX120   0 -12 -15 -12 -10 -13 -15 -11  -9 -13 -16 -14 -11  -6  -6  -8  -8  -8  -5  -3  -8  -9 -12 -10 -11 -10
DST1502*11PPX120   0  -8  -6  -6 -11  -7  -5  -5  -8  -8  -5  -6  -5  -7 -10 -13  -9  -7  -8  -7  -7  -4  -2  -3  -3  -7
DST1502*12PPX120   0  -9 -10  -8  -4  -2   0   2   0   0  -1  -2   2   6   2  -2  -5  -7  -8  -8  -8  -9 -12 -12 -12  -4
DST1502*13PPX120   0 -11 -11  -9  -6  -3   0  -1  -1  -2  -4  -2  -3  -1   1   4   5   4   2   1   1   2   2   1   1  -1
DST1502*14PPX120   0   4   4   4   3   0  -1   2   5   7   9   9   9   9   9   8   8   7   7   8  11  12  14  12  16   7
DST1502*15PPX120   0  19  21  18  12  13  11  12   6   5   0  -6   0   4   2 -12 -16 -14  -8  -9 -10  -6   0   5   5   2
DST1502*16PPX120   0   7   9   8   9  11   8   6   5   2   0   2   4   8   6   4   4   3   6   8  16  20  12   2  -3   7
DST1502*17PPX120   0 -11 -18 -26 -26 -20 -15 -19 -24 -25 -34 -34 -26 -21 -16 -12 -12 -19 -24 -31 -31 -23 -39 -61 -62 -26
DST1502*18PPX120   0 -64 -57 -50 -53 -50 -52 -56 -58 -57 -53 -49 -47 -40 -38 -36 -33 -36 -36 -34 -28 -25 -22 -24 -18 -42
DST1502*19PPX120   0 -18 -22 -24 -29 -32 -29 -29 -26 -26 -23 -23 -21 -19 -20 -19 -18 -20 -20 -16 -16 -20 -20 -19 -13 -22
DST1502*20PPX120   0 -11 -11 -11 -12 -17 -19 -16 -21 -22 -25 -26 -22 -17 -15  -9  -9  -9  -7  -5  -6  -7 -11 -15 -17 -14
DST1502*21PPX120   0 -19 -19 -18 -15 -12 -10 -10 -12 -16 -18 -22 -18 -12  -8  -4  -2  -4  -7  -6  -6  -7  -6  -1  -1 -11
DST1502*22PPX120   0  -3  -4  -6  -5  -7 -11 -12 -10  -8  -6  -9  -7  -6  -9  -7  -5  -4  -4  -3  -3  -1   3   2  -3  -5
DST1502*23PPX120   0 -10  -5  -5   3   2 -10 -13 -18 -16 -18 -16 -22 -25 -28 -23 -19 -31 -34 -20 -12 -12 -19 -27 -23 -17
DST1502*24PPX120   0 -18 -17 -33 -52 -53 -50 -54 -56 -45 -40 -43 -33 -33 -31 -26 -24 -24 -24 -22 -22 -22 -20 -25 -24 -33
DST1502*25PPX120   0 -21 -22 -22 -21 -20 -20 -17 -19 -31 -27 -23 -27 -19 -21 -20 -20 -15 -13 -13  -8  -8  -4  -5  -6 -18
DST1502*26PPX120   0  -7 -11 -10 -10 -11 -11 -11 -14 -12 -12 -12 -13 -14 -13 -11  -9  -8  -8  -6  -7  -4  -3   0   0  -9
DST1502*27PPX120   0   0   1   2   2   2   2   1   3   5   9  10   6   4   7   6   7  10  10   9   8   6   6   7   6   5
DST1502*28PPX120   0   7   8   7   7   6   4   6   7  -1  -4   0   1  -1  -2  -2   8   6  -3 -10  -9 -22 -20 -11 -10  -1
DST1503*01PPX120   0 -24 -34 -20 -20 -18 -32 -45 -42 -46 -41 -36 -33 -33 -28 -25 -22 -17 -15 -13 -10 -12 -11 -17 -15 -25
DST1503*02PPX120   0 -11  -9 -20 -24 -19 -33 -33 -43 -54 -51 -40 -38 -40 -40 -39 -38 -30 -28 -25 -19 -17 -17 -16 -13 -29
DST1503*03PPX120   0 -14 -12 -18 -15 -15 -17 -17 -15 -12 -15 -15 -15 -13 -14 -16 -16 -13 -13 -17 -11 -11 -13 -17 -21 -15
DST1503*04PPX120   0 -17  -8  -6  -6  -4  -4  -2   2   5   6   7   5   2  -2  -6  -8  -8  -9  -7  -3  -4  -1  -5  -8  -3
DST1503*05PPX120   0  -5  -1   0   2   3   4   6   7   6   5   5   5   0  -6  -2  -3  -3   0   0   1   3   3   7   7   2
DST1503*06PPX120   0   7  10  12  16  13   4  -4 -20 -21 -10  -4  -3  -4  -2  -2  -1   1   4   3   2  -4  -7   1   4   0
DST1503*07PPX120   0   3  -1  -2  -6  -9 -18 -17 -14 -10 -10 -11 -10  -7   1   0  -1   2  -2  -4  -4  -9 -14 -14 -10  -7
DST1503*08PPX120   0  -7  -3  -4  -3  -4  -3   3   4   1   3   1  -6  -9  -5 -10  -8  -5  -8 -10  -6  -5  -3  -3  -3  -4
DST1503*09PPX120   0  -7 -12 -11 -12  -9  -7  -7  -7  -7  -5  -3   0   2   3   1   2   2   2   6   7   7   7   6   8  -1
DST1503*10PPX120   0  10   6   5   5   5   6   8  10  11   7   5   7   7   7   6   4   5   6   5   3   5   6   7   6   6
DST1503*11PPX120   0   5   5   4   5   6  15  17  18  10  12  13  13   5   2  -2  -2   0   0  -5  -8  -7  -4  -4  -3   4
DST1503*12PPX120   0  -4  -1   2   1   0   3  -1 -11 -14 -13  -7  -8  -5  -4  -8  -1   3   4   2   4   3   0  -3  -4  -3
DST1503*13PPX120   0  -3  -1   1   8   9  11  12  11   9   9  10  11   8  -3  -8   0   5   2  -4  -3   1   2   3   1   4
DST1503*14PPX120   0  -1   0  -2  -2  -3  -5  -2   2   2   4   7   6   7   9  12  15  16  15  14  14  10   8   5   0   5
DST1503*15PPX120   0   0  -1  -1   0   1   0   2   3   3   4   5   5   5  10  13  16  12  12  14  13   9   4   5   9   6
DST1503*16PPX120   0  15  21  26  22  19  25  12   2   8  15  23  29  28  24  19  24  30  29  26  27  22  19  16  15  21
DST1503*17PPX120   0  15  14  13  13  25  56  37  -6 -43 -73 -63 -44 -44 -62 -81-106-131-150-143-165-171-187-223-214 -72
DST1503*18PPX120   0-190-177-161-144-136-125-121-111-112-106-100 -89 -86 -78 -76 -79 -74 -69 -77 -82 -83 -83 -83 -81-105
DST1503*19PPX120   0 -88 -83 -75 -69 -73 -73 -69 -61 -60 -65 -63 -66 -67 -71 -72 -68 -61 -59 -60 -58 -59 -58 -55 -58 -66
DST1503*20PPX120   0 -64 -69 -63 -56 -53 -52 -58 -55 -52 -50 -49 -55 -48 -44 -43 -44 -50 -54 -53 -49 -47 -45 -45 -54 -52
DST1503*21PPX120   0 -57 -53 -53 -45 -35 -34 -37 -33 -33 -33 -38 -37 -35 -32 -33 -34 -33 -31 -33 -32 -35 -29 -32 -30 -37
DST1503*22PPX120   0 -27 -30 -24 -20 -27 -31 -31 -43 -38 -39 -33 -23 -31 -35 -43 -39 -36 -39 -42 -40 -35 -35 -34 -32 -34
DST1503*23PPX120   0 -28 -32 -35 -34 -37 -35 -31 -32 -35 -33 -34 -32 -25 -22 -20 -24 -26 -23 -24 -25 -29 -39 -36 -36 -30
DST1503*24PPX120   0 -36 -36 -33 -27 -20 -20 -19 -15 -18 -17 -14 -20 -22 -17 -16 -14 -20 -21 -20 -19 -17 -17 -23 -23 -21
DST1503*25PPX120   0 -18 -18 -24 -20 -18 -21 -19 -18 -19 -17  -4  -3   6   8   9   1  -9  -4  -6 -10 -16 -20 -22 -20 -12
DST1503*26PPX120   0 -17 -12 -13 -10  -9 -12 -13  -7  -5  -3  -2   1   2   0   1  -4  -7  -7  -9  -8 -15 -19 -20 -17  -9
DST1503*27PPX120   0 -16 -16 -14 -14 -11 -17 -20 -14 -11 -15  -9 -12 -11 -11 -17 -18 -13 -10 -12 -11  -9  -9 -10  -9 -13
DST1503*28PPX120   0  -9  -4   2   8  12   9  -8 -24 -29 -21 -14 -15 -16 -15 -13  -8  -2   1  -1  -3  -7  -9  -8  -5  -7
DST1503*29PPX120   0  -7  -9  -7 -10 -16 -20 -19 -16 -13 -20 -31 -35 -24 -17 -21 -21 -20 -23 -28 -28 -26 -21 -21 -20 -20
DST1503*30PPX120   0 -19 -15 -13 -13 -11  -9  -7  -7  -6  -7 -13 -15 -11  -8 -11 -12 -13 -13 -15 -15 -15 -17 -19 -17 -13
DST1503*31PPX120   0 -12  -6  -2   2   3   2  -1  -4   0   4   5   6  -2   1   6   7   9  15   4   2   2  -1  -1  -1   2
DST1504*01PPX120   0  -1   3   9  10  10   8   8   6   6   6  10  12   7   8   7   9   7   4   3   8   7   7   3   4   7
DST1504*02PPX120   0   4   8  12  18  10  10   7   6  -8 -15 -12 -11  -8  -8  -8  -5  -6  -9  -6  -3  -2 -21 -21 -14  -3
DST1504*03PPX120   0 -11  -9 -12 -15 -11 -10  -9  -5  -5  -5  -8  -6  -4  -2  -8  -7  -5  -6  -7  -7  -8 -10 -13 -20  -8
DST1504*04PPX120   0 -22 -19 -16 -16 -15 -11 -13 -11  -8  -6  -8  -8  -7  -7  -4  -9  -9 -12 -11  -3  -1   2   3   0  -9
DST1504*05PPX120   0  -3  -6  -5  -4  -5  -8  -8  -9  -5  -1   0   1   0   0  -1  -2   0   2   3   7   9   6  -3  -2  -1
DST1504*06PPX120   0  -5  -7  -8  -5  -2   2  -2  -5  -5  -3  -2  -2  -3  -7  -8  -5  -2  -1   1   4   2   0  -1  -6  -3
DST1504*07PPX120   0  -8  -8  -5  -3  -4  -2  -1   2   4   6   6   5   4   1  -2  -1   2   4   8   7  10  11  12   7   2
DST1504*08PPX120   0   4   5   5   5   5   5   4   6   9  10   9   7   8   9   9   7   6   4   4   7   9  12  13   8   7
DST1504*09PPX120   0   5   3   8   5  -1  -3  -3  -4  -7  -5   4   1   4   5   3   7   9   9  11  17  22  23  23  15   6
DST1504*10PPX120   0 -16 -33 -28 -32 -51 -47 -35 -37 -39 -44 -39 -34 -28 -27 -20 -15 -13 -16 -22 -27 -26 -26 -31 -32 -30
DST1504*11PPX120   0 -39 -47 -52 -54 -60 -64 -69 -73 -72 -75 -68 -57 -53 -58 -58 -60 -58 -51 -47 -44 -36 -31 -26 -22 -53
DST1504*12PPX120   0 -20 -20 -20 -20 -19 -18 -18 -17 -16 -15 -14 -16 -15 -14 -14 -11 -10  -9 -11 -11 -11 -10 -11 -12 -15
DST1504*13PPX120   0  -9 -12 -18 -20 -14  -3   3  -5  -8 -11 -11  -6   0   2   1   0  -1  -2   1   6   6   7   7   5  -3
DST1504*14PPX120   0   2   0   3   7   8   9  11  10  12  12  10   6   9   9   0  -7  -8 -25 -26 -15 -13 -19 -37 -36  -3
DST1504*15PPX120   0 -29 -24 -21 -17 -21 -18  -8  -1   3   0 -19 -42 -37 -36 -36 -31 -30 -32 -45 -51 -56 -44 -42 -43 -28
DST1504*16PPX120   0 -43 -36 -44 -47 -47 -55 -59 -71 -60 -54 -51 -41 -41 -47 -44 -42 -37 -42 -47 -52 -48 -52 -75 -79 -51
DST1504*17PPX120   0 -70 -65 -58 -54 -57 -60 -59 -55 -53 -48 -42 -42 -43 -47 -43 -40 -36 -35 -40 -40 -35 -32 -33 -33 -47
DST1504*18PPX120   0 -35 -35 -28 -25 -25 -24 -21 -16 -17 -14 -11  -9  -9 -10 -14 -20 -21 -24 -21 -24 -24 -28 -29 -29 -21
DST1504*19PPX120   0 -30 -28 -23 -23 -22 -19 -21 -19 -19 -22 -26 -23 -17 -17 -21 -21 -17 -14 -16 -19 -18 -17 -20 -23 -21
